Amper TH,Amper TH2,Province TH,Province EN,Amper TH3,CODE,Amper EN,ที่ว่าการอำเภอAmper TH Province TH,Lat,Lon
เสนา,เสนา,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,เสนา,14120000,Sena,ที่ว่าการอำเภอเสนา พระนครศรีอยุธยา,14.327310187841919,100.40447261339665
บางซ้าย,บางซ้าย,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,บางซ้าย,14130000,Bang Sai,ที่ว่าการอำเภอบางซ้าย พระนครศรีอยุธยา,14.319422074562294,100.30019212120297
อุทัย,อุทัย,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,อุทัย,14140000,Uthai,ที่ว่าการอำเภออุทัย พระนครศรีอยุธยา,14.332250120701126,100.6628484275332
มหาราช,มหาราช,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,มหาราช,14150000,Maha Rat,ที่ว่าการอำเภอมหาราช พระนครศรีอยุธยา,14.53435782313567,100.52725873570465
บ้านแพรก,บ้านแพรก,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,บ้านแพรก,14160000,Ban Phraek,ที่ว่าการอำเภอบ้านแพรก พระนครศรีอยุธยา,14.647894932452958,100.5824401170015
เมืองอ่างทอง,เมืองอ่างทอง,อ่างทอง,Ang Thong,เมืองอ่างทอง,15010000,Mueang Ang Thong,ที่ว่าการอำเภอเมืองอ่างทอง อ่างทอง,14.58924958690328,100.45353122262033
ไชโย,ไชโย,อ่างทอง,Ang Thong,ไชโย,15020000,Chaiyo,ที่ว่าการอำเภอไชโย อ่างทอง,14.64911607248009,100.47862405713741
ป่าโมก,ป่าโมก,อ่างทอง,Ang Thong,ป่าโมก,15030000,Pa Mok,ที่ว่าการอำเภอป่าโมก อ่างทอง,14.488679735110416,100.45089214645319
โพธิ์ทอง,โพธิ์ทอง,อ่างทอง,Ang Thong,โพธิ์ทอง,15040000,Pho Thong,ที่ว่าการอำเภอโพธิ์ทอง อ่างทอง,14.666373071583282,100.40848082885975
แสวงหา,แสวงหา,อ่างทอง,Ang Thong,แสวงหา,15050000,Sawaeng Ha,ที่ว่าการอำเภอแสวงหา อ่างทอง,14.751386050844571,100.32489916213946
วิเศษชัยชาญ,วิเศษชัยชาญ,อ่างทอง,Ang Thong,วิเศษชัยชาญ,15060000,Wiset Chai Chan,ที่ว่าการอำเภอวิเศษชัยชาญ อ่างทอง,14.594739611377156,100.33834296881379
สามโก้,สามโก้,อ่างทอง,Ang Thong,สามโก้,15070000,Samko,ที่ว่าการอำเภอสามโก้ อ่างทอง,14.605681647780406,100.24488193500784
เมืองลพบุรี,เมืองลพบุรี,ลพบุรี,Lopburi,เมืองลพบุรี,16010000,Mueang Lop Buri,ที่ว่าการอำเภอเมืองลพบุรี ลพบุรี,14.798048532112917,100.65370251528194
พัฒนานิคม,พัฒนานิคม,ลพบุรี,Lopburi,พัฒนานิคม,16020000,Phatthana Nikhom,ที่ว่าการอำเภอพัฒนานิคม ลพบุรี,14.855887278353102,100.99001063975106
โคกสำโรง,โคกสำโรง,ลพบุรี,Lopburi,โคกสำโรง,16030000,Khok Samrong,ที่ว่าการอำเภอโคกสำโรง ลพบุรี,15.069737349652645,100.72378692820001
ชัยบาดาล,ชัยบาดาล,ลพบุรี,Lopburi,ชัยบาดาล,16040000,Chai Badan,ที่ว่าการอำเภอชัยบาดาล ลพบุรี,15.205814444563261,101.13706962315189
ท่าวุ้ง,ท่าวุ้ง,ลพบุรี,Lopburi,ท่าวุ้ง,16050000,Tha Wung,ที่ว่าการอำเภอท่าวุ้ง ลพบุรี,14.815622207806259,100.51145483039666
บ้านหมี่,บ้านหมี่,ลพบุรี,Lopburi,บ้านหมี่,16060000,Ban Mi,ที่ว่าการอำเภอบ้านหมี่ ลพบุรี,15.044526584476147,100.53709668912964
ท่าหลวง,ท่าหลวง,ลพบุรี,Lopburi,ท่าหลวง,16070000,Tha Luang,ที่ว่าการอำเภอท่าหลวง ลพบุรี,15.067469087001767,101.1069470610647
สระโบสถ์,สระโบสถ์,ลพบุรี,Lopburi,สระโบสถ์,16080000,Sa Bot,ที่ว่าการอำเภอสระโบสถ์ ลพบุรี,15.195176553742336,100.8487033354673
โคกเจริญ,โคกเจริญ,ลพบุรี,Lopburi,โคกเจริญ,16090000,Khok Charoen,ที่ว่าการอำเภอโคกเจริญ ลพบุรี,15.382810061504296,100.82247714504035
ลำสนธิ,ลำสนธิ,ลพบุรี,Lopburi,ลำสนธิ,16100000,Lam Sonthi,ที่ว่าการอำเภอลำสนธิ ลพบุรี,15.301535728733972,101.36368839991009
หนองม่วง,หนองม่วง,ลพบุรี,Lopburi,หนองม่วง,16110000,Nong Muang,ที่ว่าการอำเภอหนองม่วง ลพบุรี,15.246708971987768,100.65206876176828
เมืองสิงห์บุรี,เมืองสิงห์บุรี,สิงห์บุรี,Sing Buri,เมืองสิงห์บุรี,17010000,Mueang Sing Buri,ที่ว่าการอำเภอเมืองสิงห์บุรี สิงห์บุรี,14.88827113980371,100.40469354698128
บางระจัน,บางระจัน,สิงห์บุรี,Sing Buri,บางระจัน,17020000,Bang Rachan,ที่ว่าการอำเภอบางระจัน สิงห์บุรี,14.800225223054916,100.31063970118267
ค่ายบางระจัน,ค่ายบางระจัน,สิงห์บุรี,Sing Buri,ค่ายบางระจัน,17030000,Khai Bang Rachan,ที่ว่าการอำเภอค่ายบางระจัน สิงห์บุรี,14.904105715051552,100.33803927888978
พรหมบุรี,พรหมบุรี,สิงห์บุรี,Sing Buri,พรหมบุรี,17040000,Phrom Buri,ที่ว่าการอำเภอพรหมบุรี สิงห์บุรี,14.791347512935335,100.45347276439435
ท่าช้าง,ท่าช้าง,สิงห์บุรี,Sing Buri,ท่าช้าง,17050000,Tha Chang,ที่ว่าการอำเภอท่าช้าง สิงห์บุรี,14.761756518673872,100.38997930690608
อินทร์บุรี,อินทร์บุรี,สิงห์บุรี,Sing Buri,อินทร์บุรี,17060000,In Buri,ที่ว่าการอำเภออินทร์บุรี สิงห์บุรี,15.008649910265229,100.3264754318246
เมืองชัยนาท,เมืองชัยนาท,ชัยนาท,Chai Nat,เมืองชัยนาท,18010000,Mueang Chai Nat,ที่ว่าการอำเภอเมืองชัยนาท ชัยนาท,15.185476927142602,100.12382635033302
มโนรมย์,มโนรมย์,ชัยนาท,Chai Nat,มโนรมย์,18020000,Manorom,ที่ว่าการอำเภอมโนรมย์ ชัยนาท,15.3094800665875,100.08378510604118
วัดสิงห์,วัดสิงห์,ชัยนาท,Chai Nat,วัดสิงห์,18030000,Wat Sing,ที่ว่าการอำเภอวัดสิงห์ ชัยนาท,15.255265096570072,100.03802771669226
สรรพยา,สรรพยา,ชัยนาท,Chai Nat,สรรพยา,18040000,Sapphaya,ที่ว่าการอำเภอสรรพยา ชัยนาท,15.137619461100124,100.24287642162429
สรรคบุรี,สรรคบุรี,ชัยนาท,Chai Nat,สรรคบุรี,18050000,Sankhaburi,ที่ว่าการอำเภอสรรคบุรี ชัยนาท,15.047257229075646,100.16174672812167
หันคา,หันคา,ชัยนาท,Chai Nat,หันคา,18060000,Hankha,ที่ว่าการอำเภอหันคา ชัยนาท,14.98112873581745,100.01477595274008
หนองมะโมง,หนองมะโมง,ชัยนาท,Chai Nat,หนองมะโมง,18070000,Nong Mamong,ที่ว่าการอำเภอหนองมะโมง ชัยนาท,15.276835726290395,99.86664692758198
เนินขาม,เนินขาม,ชัยนาท,Chai Nat,เนินขาม,18080000,Noen Kham,ที่ว่าการอำเภอเนินขาม ชัยนาท,14.962278914964896,99.9117169296217
เมืองสระบุรี,เมืองสระบุรี,สระบุรี,Saraburi,เมืองสระบุรี,19010000,Mueang Saraburi,ที่ว่าการอำเภอเมืองสระบุรี สระบุรี,14.528137561398715,100.90981257929879
แก่งคอย,แก่งคอย,สระบุรี,Saraburi,แก่งคอย,19020000,Kaeng Khoi,ที่ว่าการอำเภอแก่งคอย สระบุรี,14.586504885677511,100.99773111511973
หนองแค,หนองแค,สระบุรี,Saraburi,หนองแค,19030000,Nong Khae,ที่ว่าการอำเภอหนองแค สระบุรี,14.339070121650325,100.86153959165162
วิหารแดง,วิหารแดง,สระบุรี,Saraburi,วิหารแดง,19040000,Wihan Daeng,ที่ว่าการอำเภอวิหารแดง สระบุรี,14.346502411276338,100.98928506480812
หนองแซง,หนองแซง,สระบุรี,Saraburi,หนองแซง,19050000,Nong Saeng,ที่ว่าการอำเภอหนองแซง สระบุรี,14.491967814349863,100.78444031576288
บ้านหมอ,บ้านหมอ,สระบุรี,Saraburi,บ้านหมอ,19060000,Ban Mo,ที่ว่าการอำเภอบ้านหมอ สระบุรี,14.615554927961162,100.72723978486557
ดอนพุด,ดอนพุด,สระบุรี,Saraburi,ดอนพุด,19070000,Don Phut,ที่ว่าการอำเภอดอนพุด สระบุรี,14.592237459133079,100.62833411653385
หนองโดน,หนองโดน,สระบุรี,Saraburi,หนองโดน,19080000,Nong Don,ที่ว่าการอำเภอหนองโดน สระบุรี,14.681133409153812,100.70816473623778
พระพุทธบาท,พระพุทธบาท,สระบุรี,Saraburi,พระพุทธบาท,19090000,Phra Phutthabat,ที่ว่าการอำเภอพระพุทธบาท สระบุรี,14.725458057295011,100.79523520013633
เสาไห้,เสาไห้,สระบุรี,Saraburi,เสาไห้,19100000,Sao Hai,ที่ว่าการอำเภอเสาไห้ สระบุรี,14.550851186926572,100.84428737853422
มวกเหล็ก,มวกเหล็ก,สระบุรี,Saraburi,มวกเหล็ก,19110000,Muak Lek,ที่ว่าการอำเภอมวกเหล็ก สระบุรี,14.655507638913704,101.19837053434922
วังม่วง,วังม่วง,สระบุรี,Saraburi,วังม่วง,19120000,Wang Muang,ที่ว่าการอำเภอวังม่วง สระบุรี,14.845703148075556,101.13442974594142
