CODE,Amper TH,Amper EN,Province TH,Province EN,Lat,Lon
24020000,บางคล้า,Bang Khla,ฉะเชิงเทรา,Chachoengsao,13.728021178696535,101.20797434720093
24030000,บางน้ำเปรี้ยว,Bang Nam Priao,ฉะเชิงเทรา,Chachoengsao,13.847417207015644,101.05336953775803
24040000,บางปะกง,Bang Pakong,ฉะเชิงเทรา,Chachoengsao,13.542791806827136,100.99396213556518
24050000,บ้านโพธิ์,Ban Pho,ฉะเชิงเทรา,Chachoengsao,13.599799907219216,101.07850637481063
24060000,พนมสารคาม,Phanom Sarakham,ฉะเชิงเทรา,Chachoengsao,13.744491372971442,101.34660803554905
24070000,ราชสาส์น,Ratchasan,ฉะเชิงเทรา,Chachoengsao,13.782018355046386,101.28146903933485
24080000,สนามชัยเขต,Sanam Chai Khet,ฉะเชิงเทรา,Chachoengsao,13.658296503917612,101.4388328167952
24090000,แปลงยาว,Pleang Yao,ฉะเชิงเทรา,Chachoengsao,13.584513986185764,101.28413922975338
24100000,ท่าตะเกียบ,Tha Takiap,ฉะเชิงเทรา,Chachoengsao,13.544069876589958,101.64860050455898
24110000,คลองเขื่อน,Khlong Khuean,ฉะเชิงเทรา,Chachoengsao,13.791290841456012,101.16284193538264
25010000,เมืองปราจีนบุรี,Mueang Prachin Buri,ปราจีนบุรี,Prachin Buri,14.050683078756357,101.36639528579911
25020000,กบินทร์บุรี,Kabin Buri,ปราจีนบุรี,Prachin Buri,13.946196280585234,101.71261292524717
25030000,นาดี,Na Di,ปราจีนบุรี,Prachin Buri,14.10966022359922,101.78501332607684
25060000,บ้านสร้าง,Ban Sang,ปราจีนบุรี,Prachin Buri,13.994850020454287,101.22125359274938
25070000,ประจันตคาม,Prachantakham,ปราจีนบุรี,Prachin Buri,14.064571037712751,101.51512456337616
25080000,ศรีมหาโพธิ,Si Maha Phot,ปราจีนบุรี,Prachin Buri,13.966532847062101,101.5129330872785
25090000,ศรีมโหสถ,Si Mahosot,ปราจีนบุรี,Prachin Buri,13.882578512106164,101.40695680073614
26010000,เมืองนครนายก,Mueang Nakhon Nayok,นครนายก,Nakhon Nayok,14.203698232978633,101.21726173137662
26020000,ปากพลี,Pak Phli,นครนายก,Nakhon Nayok,14.163219546667214,101.26831869669847
26030000,บ้านนา,Ban Na,นครนายก,Nakhon Nayok,14.266742994854003,101.06138663555059
26040000,องครักษ์,Ongkharak,นครนายก,Nakhon Nayok,14.121524750638113,101.00363956152218
27010000,เมืองสระแก้ว,Mueang Sa Kaeo,สระแก้ว,Sa Kaeo,13.814680991649814,102.07176553862412
27020000,คลองหาด,Khlong Hat,สระแก้ว,Sa Kaeo,13.448865688535273,102.29993997113465
27030000,ตาพระยา,Ta Phraya,สระแก้ว,Sa Kaeo,14.005927914327993,102.80568978602507
27040000,วังน้ำเย็น,Wang Nam Yen,สระแก้ว,Sa Kaeo,13.499823118965073,102.18209573555865
27050000,วัฒนานคร,Watthana Nakhon,สระแก้ว,Sa Kaeo,13.747754859438961,102.30760517091215
27060000,อรัญประเทศ,Aranyaprathet,สระแก้ว,Sa Kaeo,13.700763310912555,102.51171103202232
27070000,เขาฉกรรจ์,Khao Chakan,สระแก้ว,Sa Kaeo,13.650616669087357,102.09672143919887
27080000,โคกสูง,Khok Sung,สระแก้ว,Sa Kaeo,13.832750791144646,102.61423713555897
27090000,วังสมบูรณ์,Wang Sombun,สระแก้ว,Sa Kaeo,13.39705092790461,102.19872179131397
30010000,เมืองนครราชสีมา,Mueang Nakhon Ratchasima,นครราชสีมา,Nakhon Ratchasima,14.971228405899632,102.099628010185
30020000,ครบุรี,Khon Buri,นครราชสีมา,Nakhon Ratchasima,14.52390967043978,102.24853902180367
30030000,เสิงสาง,Soeng Sang,นครราชสีมา,Nakhon Ratchasima,14.426223869933798,102.46043957155013
30040000,คง,Khong,นครราชสีมา,Nakhon Ratchasima,15.441314691151108,102.32843171775136
30050000,บ้านเหลื่อม,Ban Lueam,นครราชสีมา,Nakhon Ratchasima,15.608250083118717,102.13039567984488
30060000,จักราช,Chakkarat,นครราชสีมา,Nakhon Ratchasima,15.013324631561188,102.41327451834506
30070000,โชคชัย,Chok Chai,นครราชสีมา,Nakhon Ratchasima,14.732322601124181,102.16332414624897
30080000,ด่านขุนทด,Dan Khun Thot,นครราชสีมา,Nakhon Ratchasima,15.209744629173333,101.76586537534926
30090000,โนนไทย,Non Thai,นครราชสีมา,Nakhon Ratchasima,15.198471308296387,102.06994152925257
30100000,โนนสูง,Non Sung,นครราชสีมา,Nakhon Ratchasima,15.179841961641118,102.25704674353233
30110000,ขามสะแกแสง,Kham Sakaesaeng,นครราชสีมา,Nakhon Ratchasima,15.32955593210956,102.17087444899202
30120000,บัวใหญ่,Bua Yai,นครราชสีมา,Nakhon Ratchasima,15.583278140308066,102.42301413621016
30130000,ประทาย,Prathai,นครราชสีมา,Nakhon Ratchasima,15.533534341061342,102.72268223420694
30140000,ปักธงชัย,Pak Thong Chai,นครราชสีมา,Nakhon Ratchasima,14.719545360712553,102.02130137489515
30150000,พิมาย,Phimai,นครราชสีมา,Nakhon Ratchasima,15.220618762917432,102.48596774565601
30160000,ห้วยแถลง,Huai Thalaeng,นครราชสีมา,Nakhon Ratchasima,14.99718945643116,102.6389302594888
30170000,ชุมพวง,Chum Phuang,นครราชสีมา,Nakhon Ratchasima,15.34884987306683,102.74185641344015
30180000,สูงเนิน,Sung Noen,นครราชสีมา,Nakhon Ratchasima,14.899045823432228,101.82063985328404
30190000,ขามทะเลสอ,Kham Thale So,นครราชสีมา,Nakhon Ratchasima,14.960763460121939,101.94759818797199
30200000,สีคิ้ว,Si Khio,นครราชสีมา,Nakhon Ratchasima,14.89247411588234,101.7231906177229
30210000,ปากช่อง,Pak Chong,นครราชสีมา,Nakhon Ratchasima,14.712405147995034,101.42187077858492
30220000,หนองบุญมาก,Nong Bunmak,นครราชสีมา,Nakhon Ratchasima,14.739520711470385,102.36647166497508
30230000,แก้งสนามนาง,Kaeng Sanam Nang,นครราชสีมา,Nakhon Ratchasima,15.749726658859126,102.25470691342542
30240000,โนนแดง,Non Daeng,นครราชสีมา,Nakhon Ratchasima,15.410941249372447,102.54035411044293
30250000,วังน้ำเขียว,Wang Nam Khiao,นครราชสีมา,Nakhon Ratchasima,14.41783695411292,101.8502801247863
30260000,เทพารักษ์,Thepharak,นครราชสีมา,Nakhon Ratchasima,15.309458096169333,101.55104432847098
30270000,เมืองยาง,Mueang Yang,นครราชสีมา,Nakhon Ratchasima,15.423823028908517,102.90082216279563
30280000,พระทองคำ,Phra Thong Kham,นครราชสีมา,Nakhon Ratchasima,15.306661630221356,101.98164298962551
30290000,ลำทะเมนชัย,Lamtaman Chai,นครราชสีมา,Nakhon Ratchasima,15.352848289124891,102.91746264226322
30300000,บัวลาย,Bua Lai,นครราชสีมา,Nakhon Ratchasima,15.662575308618592,102.5268718041768
30310000,สีดา,Sida,นครราชสีมา,Nakhon Ratchasima,15.542395733134894,102.56597760866443
31010000,เมืองบุรีรัมย์,Mueang Buri Ram,บุรีรัมย์,Buri Ram,14.994052714448165,103.10437310377709
31020000,คูเมือง,Khu Mueang,บุรีรัมย์,Buri Ram,15.271392074996575,103.0014794710881
