,site1,site2,value
110,"('คลองเตย', 'กรุงเทพมหานคร')","('ห้วยขวาง', 'กรุงเทพมหานคร')",1
111,"('คลองเตย', 'กรุงเทพมหานคร')","('ดินแดง', 'กรุงเทพมหานคร')",1
112,"('คลองเตย', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
113,"('คลองเตย', 'กรุงเทพมหานคร')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
114,"('คลองเตย', 'กรุงเทพมหานคร')","('สวนหลวง', 'กรุงเทพมหานคร')",1
115,"('คลองเตย', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
116,"('คลองเตย', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
117,"('คลองเตย', 'กรุงเทพมหานคร')","('วังทองหลาง', 'กรุงเทพมหานคร')",1
118,"('คลองเตย', 'กรุงเทพมหานคร')","('บางนา', 'กรุงเทพมหานคร')",1
119,"('คลองเตย', 'กรุงเทพมหานคร')","('พระประแดง', 'สมุทรปราการ')",1
120,"('บางเขน', 'กรุงเทพมหานคร')","('บางเขน', 'กรุงเทพมหานคร')",1
121,"('บางเขน', 'กรุงเทพมหานคร')","('มีนบุรี', 'กรุงเทพมหานคร')",1
122,"('บางเขน', 'กรุงเทพมหานคร')","('ดอนเมือง', 'กรุงเทพมหานคร')",1
123,"('บางเขน', 'กรุงเทพมหานคร')","('บึงกุ่ม', 'กรุงเทพมหานคร')",1
124,"('บางเขน', 'กรุงเทพมหานคร')","('จตุจักร', 'กรุงเทพมหานคร')",1
125,"('บางเขน', 'กรุงเทพมหานคร')","('ลาดพร้าว', 'กรุงเทพมหานคร')",1
126,"('บางเขน', 'กรุงเทพมหานคร')","('หลักสี่', 'กรุงเทพมหานคร')",1
127,"('บางเขน', 'กรุงเทพมหานคร')","('สายไหม', 'กรุงเทพมหานคร')",1
128,"('บางเขน', 'กรุงเทพมหานคร')","('คันนายาว', 'กรุงเทพมหานคร')",1
129,"('บางเขน', 'กรุงเทพมหานคร')","('คลองสามวา', 'กรุงเทพมหานคร')",1
130,"('บางเขน', 'กรุงเทพมหานคร')","('ปากเกร็ด', 'นนทบุรี')",1
131,"('บางเขน', 'กรุงเทพมหานคร')","('ลำลูกกา', 'ปทุมธานี')",1
132,"('พระโขนง', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
133,"('พระโขนง', 'กรุงเทพมหานคร')","('พระโขนง', 'กรุงเทพมหานคร')",1
