,ap_tn,pv_tn
290,คลองเขื่อน,ฉะเชิงเทรา
291,เมืองปราจีนบุรี,ปราจีนบุรี
292,กบินทร์บุรี,ปราจีนบุรี
293,นาดี,ปราจีนบุรี
294,ศรีมโหสถ,ปราจีนบุรี
295,ลอง,แพร่
296,สูงเม่น,แพร่
297,เด่นชัย,แพร่
298,สอง,แพร่
299,วังชิ้น,แพร่
300,หนองม่วงไข่,แพร่
301,เมืองน่าน,น่าน
302,แม่จริม,น่าน
303,บ้านหลวง,น่าน
304,นาน้อย,น่าน
305,ปัว,น่าน
306,ท่าวังผา,น่าน
307,เวียงสา,น่าน
308,ทุ่งช้าง,น่าน
309,เชียงกลาง,น่าน
310,นาหมื่น,น่าน
311,สันติสุข,น่าน
312,บ่อเกลือ,น่าน
313,สองแคว,น่าน
314,ภูเพียง,น่าน
315,เฉลิมพระเกียรติ,น่าน
316,เมืองพะเยา,พะเยา
317,จุน,พะเยา
318,เชียงคำ,พะเยา
319,เชียงม่วน,พะเยา
320,ดอกคำใต้,พะเยา
321,ปง,พะเยา
322,แม่ใจ,พะเยา
323,ภูซาง,พะเยา
324,ภูกามยาว,พะเยา
325,เมืองเชียงราย,เชียงราย
326,เวียงชัย,เชียงราย
327,เชียงของ,เชียงราย
328,เทิง,เชียงราย
329,แม่อาย,เชียงใหม่
330,พร้าว,เชียงใหม่
331,สันป่าตอง,เชียงใหม่
332,พาน,เชียงราย
333,สันกำแพง,เชียงใหม่
334,สันทราย,เชียงใหม่
335,หางดง,เชียงใหม่
336,ฮอด,เชียงใหม่
337,ดอยเต่า,เชียงใหม่
338,อมก๋อย,เชียงใหม่
339,สารภี,เชียงใหม่
340,เวียงแหง,เชียงใหม่
341,ไชยปราการ,เชียงใหม่
342,แม่วาง,เชียงใหม่
343,แม่ออน,เชียงใหม่
344,ดอยหล่อ,เชียงใหม่
345,กัลยาณิวัฒนา,เชียงใหม่
346,เมืองลำพูน,ลำพูน
347,แม่ทา,ลำพูน
348,บ้านโฮ่ง,ลำพูน
349,ลี้,ลำพูน
350,ทุ่งหัวช้าง,ลำพูน
351,ป่าซาง,ลำพูน
352,บ้านธิ,ลำพูน
353,ป่าแดด,เชียงราย
354,แม่จัน,เชียงราย
355,เชียงแสน,เชียงราย
356,แม่สาย,เชียงราย
357,แม่สรวย,เชียงราย
358,เวียงป่าเป้า,เชียงราย
359,พญาเม็งราย,เชียงราย
360,เวียงแก่น,เชียงราย
361,แม่สะเรียง,แม่ฮ่องสอน
362,แม่ลาน้อย,แม่ฮ่องสอน
363,สบเมย,แม่ฮ่องสอน
364,แม่พริก,ลำปาง
365,แม่ทะ,ลำปาง
366,สบปราบ,ลำปาง
367,ห้างฉัตร,ลำปาง
368,เมืองปาน,ลำปาง
369,เมืองอุตรดิตถ์,อุตรดิตถ์
370,ตรอน,อุตรดิตถ์
371,ท่าปลา,อุตรดิตถ์
372,น้ำปาด,อุตรดิตถ์
373,ฟากท่า,อุตรดิตถ์
374,บ้านโคก,อุตรดิตถ์
375,พิชัย,อุตรดิตถ์
376,ลับแล,อุตรดิตถ์
377,ทองแสนขัน,อุตรดิตถ์
378,เมืองแพร่,แพร่
379,ร้องกวาง,แพร่
380,เมืองเชียงใหม่,เชียงใหม่
381,จอมทอง,เชียงใหม่
382,แม่แจ่ม,เชียงใหม่
383,เชียงดาว,เชียงใหม่
384,ดอยสะเก็ด,เชียงใหม่
385,แม่แตง,เชียงใหม่
386,แม่ริม,เชียงใหม่
387,สะเมิง,เชียงใหม่
388,ฝาง,เชียงใหม่
389,เวียงหนองล่อง,ลำพูน
390,เมืองลำปาง,ลำปาง
391,แม่เมาะ,ลำปาง
392,เกาะคา,ลำปาง
393,เสริมงาม,ลำปาง
394,งาว,ลำปาง
395,แจ้ห่ม,ลำปาง
396,วังเหนือ,ลำปาง
397,เถิน,ลำปาง
398,ขุนตาล,เชียงราย
399,แม่ฟ้าหลวง,เชียงราย
400,ดอยหลวง,เชียงราย
401,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน
402,แม่ลาว,เชียงราย
403,ขุนยวม,แม่ฮ่องสอน
404,ปาย,แม่ฮ่องสอน
405,เวียงเชียงรุ้ง,เชียงราย
406,ปางมะผ้า,แม่ฮ่องสอน
407,ละงู,สตูล
408,เกาะยาว,พังงา
409,เมืองนครศรีธรรมราช,นครศรีธรรมราช
410,พรหมคีรี,นครศรีธรรมราช
411,ลานสกา,นครศรีธรรมราช
412,ฉวาง,นครศรีธรรมราช
413,พิปูน,นครศรีธรรมราช
414,เชียรใหญ่,นครศรีธรรมราช
415,ชะอวด,นครศรีธรรมราช
416,ท่าศาลา,นครศรีธรรมราช
417,ทุ่งสง,นครศรีธรรมราช
418,นาบอน,นครศรีธรรมราช
419,ทุ่งใหญ่,นครศรีธรรมราช
420,ปากพนัง,นครศรีธรรมราช
421,ร่อนพิบูลย์,นครศรีธรรมราช
422,สิชล,นครศรีธรรมราช
423,ขนอม,นครศรีธรรมราช
424,หัวไทร,นครศรีธรรมราช
425,บางขัน,นครศรีธรรมราช
426,ถ้ำพรรณรา,นครศรีธรรมราช
427,จุฬาภรณ์,นครศรีธรรมราช
428,พระพรหม,นครศรีธรรมราช
429,นบพิตำ,นครศรีธรรมราช
430,ช้างกลาง,นครศรีธรรมราช
431,เฉลิมพระเกียรติ,นครศรีธรรมราช
432,เมืองกระบี่,กระบี่
433,เขาพนม,กระบี่
434,เกาะลันตา,กระบี่
435,คลองท่อม,กระบี่
436,อ่าวลึก,กระบี่
437,ปลายพระยา,กระบี่
438,ลำทับ,กระบี่
439,เหนือคลอง,กระบี่
440,เมืองพังงา,พังงา
441,กะปง,พังงา
442,ตะกั่วทุ่ง,พังงา
443,ตะกั่วป่า,พังงา
444,คุระบุรี,พังงา
445,ทับปุด,พังงา
446,ท้ายเหมือง,พังงา
447,เมืองภูเก็ต,ภูเก็ต
448,กะทู้,ภูเก็ต
449,ถลาง,ภูเก็ต
450,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี
451,กาญจนดิษฐ์,สุราษฎร์ธานี
452,ดอนสัก,สุราษฎร์ธานี
453,เกาะสมุย,สุราษฎร์ธานี
454,เกาะพะงัน,สุราษฎร์ธานี
455,ไชยา,สุราษฎร์ธานี
456,ท่าชนะ,สุราษฎร์ธานี
457,คีรีรัฐนิคม,สุราษฎร์ธานี
458,บ้านตาขุน,สุราษฎร์ธานี
459,พนม,สุราษฎร์ธานี
460,ท่าฉาง,สุราษฎร์ธานี
461,บ้านนาสาร,สุราษฎร์ธานี
462,พระแสง,สุราษฎร์ธานี
463,พุนพิน,สุราษฎร์ธานี
464,เมืองชุมพร,ชุมพร
465,ท่าแซะ,ชุมพร
466,ปะทิว,ชุมพร
467,หลังสวน,ชุมพร
468,ละแม,ชุมพร
469,พะโต๊ะ,ชุมพร
470,สวี,ชุมพร
