,Origin,Destination,Distance
441,Chanthaburi,Chonburi,165 km
442,Chanthaburi,Rayong,111 km
443,Chanthaburi,Trat,70.1 km
444,Chanthaburi,Chachoengsao,190 km
445,Chanthaburi,Sa Kaeo,157 km
446,Trat,Chanthaburi,69.9 km
447,Chachoengsao,Bangkok,68.8 km
448,Chachoengsao,Samut Prakan,74.1 km
449,Chachoengsao,Pathum Thani,88.0 km
450,Chachoengsao,Chonburi,43.1 km
451,Chachoengsao,Rayong,137 km
452,Chachoengsao,Chanthaburi,190 km
453,Chachoengsao,Prachin Buri,76.3 km
454,Chachoengsao,Nakhon Nayok,74.1 km
455,Chachoengsao,Sa Kaeo,124 km
456,Prachin Buri,Chachoengsao,76.3 km
457,Prachin Buri,Nakhon Nayok,25.4 km
458,Prachin Buri,Sa Kaeo,89.6 km
459,Prachin Buri,Nakhon Ratchasima,189 km
460,Nakhon Nayok,Bangkok,107 km
461,Nakhon Nayok,Pathum Thani,90.3 km
462,Nakhon Nayok,Saraburi,59.3 km
463,Nakhon Nayok,Chachoengsao,74.2 km
464,Nakhon Nayok,Prachin Buri,26.1 km
465,Nakhon Nayok,Nakhon Ratchasima,198 km
466,Sa Kaeo,Chanthaburi,157 km
467,Sa Kaeo,Chachoengsao,121 km
468,Sa Kaeo,Prachin Buri,88.6 km
469,Sa Kaeo,Nakhon Ratchasima,174 km
470,Sa Kaeo,Buri Ram,222 km
471,Nakhon Ratchasima,Lopburi,198 km
472,Nakhon Ratchasima,Saraburi,155 km
473,Nakhon Ratchasima,Prachin Buri,187 km
474,Nakhon Ratchasima,Nakhon Nayok,200 km
475,Nakhon Ratchasima,Sa Kaeo,169 km
476,Nakhon Ratchasima,Buri Ram,125 km
477,Nakhon Ratchasima,Chaiyaphum,124 km
478,Nakhon Ratchasima,Khon Kaen,193 km
479,Buri Ram,Sa Kaeo,222 km
480,Buri Ram,Nakhon Ratchasima,127 km
481,Buri Ram,Surin,52.4 km
482,Buri Ram,Khon Kaen,195 km
483,Buri Ram,Maha Sarakham,153 km
484,Surin,Buri Ram,53.2 km
485,Surin,Si Sa Ket,106 km
486,Surin,Maha Sarakham,176 km
487,Surin,Roi Et,146 km
488,Si Sa Ket,Surin,105 km
489,Si Sa Ket,Ubon Ratchathani,64.1 km
490,Si Sa Ket,Yasothon,104 km
491,Si Sa Ket,Roi Et,147 km
492,Ubon Ratchathani,Si Sa Ket,65.8 km
493,Ubon Ratchathani,Yasothon,104 km
494,Ubon Ratchathani,Amnat Charoen,77.9 km
495,Yasothon,Si Sa Ket,99.3 km
496,Yasothon,Ubon Ratchathani,104 km
497,Yasothon,Amnat Charoen,57.5 km
498,Yasothon,Roi Et,67.3 km
499,Yasothon,Mukdahan,114 km
500,Chaiyaphum,Lopburi,229 km
501,Chaiyaphum,Nakhon Ratchasima,110 km
502,Chaiyaphum,Khon Kaen,126 km
503,Chaiyaphum,Phetchabun,202 km
504,Amnat Charoen,Ubon Ratchathani,76.4 km
505,Amnat Charoen,Yasothon,62.0 km
506,Amnat Charoen,Mukdahan,89.7 km
507,Bueng Kan,Nong Khai,138 km
508,Bueng Kan,Sakon Nakhon,179 km
509,Bueng Kan,Nakhon Phanom,184 km
510,Nong Bua Lamphu,Khon Kaen,113 km
511,Nong Bua Lamphu,Udon Thani,47.6 km
512,Nong Bua Lamphu,Loei,102 km
513,Khon Kaen,Nakhon Ratchasima,194 km
514,Khon Kaen,Buri Ram,196 km
515,Khon Kaen,Chaiyaphum,126 km
516,Khon Kaen,Nong Bua Lamphu,113 km
517,Khon Kaen,Udon Thani,121 km
518,Khon Kaen,Loei,208 km
519,Khon Kaen,Maha Sarakham,77.7 km
520,Khon Kaen,Kalasin,82.4 km
521,Khon Kaen,Phetchabun,235 km
522,Udon Thani,Nong Bua Lamphu,47.4 km
523,Udon Thani,Khon Kaen,120 km
524,Udon Thani,Loei,148 km
525,Udon Thani,Nong Khai,53.5 km
526,Udon Thani,Kalasin,165 km
527,Udon Thani,Sakon Nakhon,163 km
528,Loei,Nong Bua Lamphu,102 km
529,Loei,Khon Kaen,207 km
530,Loei,Udon Thani,149 km
531,Loei,Nong Khai,182 km
532,Loei,Phitsanulok,228 km
533,Loei,Phetchabun,190 km
534,Nong Khai,Bueng Kan,137 km
535,Nong Khai,Udon Thani,54.0 km
536,Nong Khai,Loei,181 km
537,Nong Khai,Sakon Nakhon,216 km
538,Maha Sarakham,Buri Ram,154 km
539,Maha Sarakham,Surin,173 km
540,Maha Sarakham,Khon Kaen,68.9 km
541,Maha Sarakham,Roi Et,41.6 km
542,Maha Sarakham,Kalasin,49.8 km
543,Roi Et,Surin,145 km
544,Roi Et,Si Sa Ket,146 km
545,Roi Et,Yasothon,67.5 km
546,Roi Et,Maha Sarakham,41.3 km
547,Roi Et,Kalasin,50.9 km
548,Roi Et,Mukdahan,153 km
549,Kalasin,Khon Kaen,83.6 km
550,Kalasin,Udon Thani,166 km
551,Kalasin,Maha Sarakham,51.0 km
552,Kalasin,Roi Et,52.0 km
553,Kalasin,Sakon Nakhon,125 km
554,Kalasin,Mukdahan,143 km
555,Sakon Nakhon,Bueng Kan,184 km
556,Sakon Nakhon,Udon Thani,164 km
557,Sakon Nakhon,Nong Khai,216 km
558,Sakon Nakhon,Kalasin,126 km
559,Sakon Nakhon,Nakhon Phanom,91.8 km
