,original_tuple,destination_tuple,distance
258,"('พระทองคำ', 'นครราชสีมา')","('โนนไทย', 'นครราชสีมา')",16.5 km
259,"('พระทองคำ', 'นครราชสีมา')","('ขามสะแกแสง', 'นครราชสีมา')",36.5 km
260,"('พระทองคำ', 'นครราชสีมา')","('เนินสง่า', 'ชัยภูมิ')",38.3 km
261,"('ลำทะเมนชัย', 'นครราชสีมา')","('ชุมพวง', 'นครราชสีมา')",19.6 km
262,"('ลำทะเมนชัย', 'นครราชสีมา')","('ลำปลายมาศ', 'บุรีรัมย์')",44.8 km
263,"('ลำทะเมนชัย', 'นครราชสีมา')","('เมืองยาง', 'นครราชสีมา')",10.5 km
264,"('ลำทะเมนชัย', 'นครราชสีมา')","('คูเมือง', 'บุรีรัมย์')",20.9 km
265,"('บัวลาย', 'นครราชสีมา')","('พล', 'ขอนแก่น')",26.6 km
266,"('บัวลาย', 'นครราชสีมา')","('แวงน้อย', 'ขอนแก่น')",46.8 km
267,"('บัวลาย', 'นครราชสีมา')","('บัวใหญ่', 'นครราชสีมา')",18.6 km
268,"('บัวลาย', 'นครราชสีมา')","('ประทาย', 'นครราชสีมา')",36.0 km
269,"('บัวลาย', 'นครราชสีมา')","('สีดา', 'นครราชสีมา')",19.9 km
270,"('สีดา', 'นครราชสีมา')","('คง', 'นครราชสีมา')",46.8 km
