,original_tuple,destination_tuple,distance
5761,"('น้ำเกลี้ยง', 'ศรีสะเกษ')","('โนนคูณ', 'ศรีสะเกษ')",28.9 km
5762,"('น้ำเกลี้ยง', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",23.5 km
5763,"('วังหิน', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",26.3 km
5764,"('วังหิน', 'ศรีสะเกษ')","('พยุห์', 'ศรีสะเกษ')",21.9 km
5765,"('วังหิน', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",31.3 km
5766,"('วังหิน', 'ศรีสะเกษ')","('ไพรบึง', 'ศรีสะเกษ')",37.1 km
5767,"('วังหิน', 'ศรีสะเกษ')","('ปรางค์กู่', 'ศรีสะเกษ')",31.8 km
5768,"('วังหิน', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",31.9 km
5769,"('วังหิน', 'ศรีสะเกษ')","('ห้วยทับทัน', 'ศรีสะเกษ')",35.3 km
5770,"('ภูสิงห์', 'ศรีสะเกษ')","('บัวเชด', 'สุรินทร์')",26.4 km
5771,"('ภูสิงห์', 'ศรีสะเกษ')","('สังขะ', 'สุรินทร์')",44.5 km
5772,"('ภูสิงห์', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",28.0 km
5773,"('ภูสิงห์', 'ศรีสะเกษ')","('ขุนหาญ', 'ศรีสะเกษ')",49.1 km
5774,"('เมืองจันทร์', 'ศรีสะเกษ')","('สำโรงทาบ', 'สุรินทร์')",31.3 km
5775,"('เมืองจันทร์', 'ศรีสะเกษ')","('โนนนารายณ์', 'สุรินทร์')",21.1 km
5776,"('เมืองจันทร์', 'ศรีสะเกษ')","('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')",7.5 km
5777,"('เมืองจันทร์', 'ศรีสะเกษ')","('รัตนบุรี', 'สุรินทร์')",33.3 km
5778,"('เมืองจันทร์', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",14.0 km
5779,"('เมืองจันทร์', 'ศรีสะเกษ')","('บึงบูรพ์', 'ศรีสะเกษ')",22.1 km
5780,"('เมืองจันทร์', 'ศรีสะเกษ')","('ห้วยทับทัน', 'ศรีสะเกษ')",18.9 km
5781,"('เบญจลักษ์', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",32.7 km
5782,"('เบญจลักษ์', 'ศรีสะเกษ')","('เดชอุดม', 'อุบลราชธานี')",59.9 km
5783,"('เบญจลักษ์', 'ศรีสะเกษ')","('สำโรง', 'อุบลราชธานี')",30.1 km
5784,"('เบญจลักษ์', 'ศรีสะเกษ')","('ทุ่งศรีอุดม', 'อุบลราชธานี')",52.6 km
5785,"('เบญจลักษ์', 'ศรีสะเกษ')","('กันทรลักษ์', 'ศรีสะเกษ')",21.5 km
5786,"('เบญจลักษ์', 'ศรีสะเกษ')","('โนนคูณ', 'ศรีสะเกษ')",19.7 km
5787,"('เบญจลักษ์', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",25.9 km
5788,"('พยุห์', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",27.6 km
5789,"('พยุห์', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",17.7 km
5790,"('พยุห์', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",21.9 km
5791,"('พยุห์', 'ศรีสะเกษ')","('กันทรารมย์', 'ศรีสะเกษ')",34.1 km
5792,"('พยุห์', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",39.3 km
5793,"('พยุห์', 'ศรีสะเกษ')","('ไพรบึง', 'ศรีสะเกษ')",18.8 km
5794,"('พยุห์', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",19.4 km
5795,"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('โนนนารายณ์', 'สุรินทร์')",27.4 km
5796,"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('เมืองจันทร์', 'ศรีสะเกษ')",7.5 km
5797,"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('รัตนบุรี', 'สุรินทร์')",28.1 km
5798,"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('ราษีไศล', 'ศรีสะเกษ')",24.5 km
5799,"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",19.3 km
5800,"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('บึงบูรพ์', 'ศรีสะเกษ')",14.5 km
5801,"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('ห้วยทับทัน', 'ศรีสะเกษ')",23.5 km
5802,"('ศิลาลาด', 'ศรีสะเกษ')","('พนมไพร', 'ร้อยเอ็ด')",26.1 km
5803,"('ศิลาลาด', 'ศรีสะเกษ')","('รัตนบุรี', 'สุรินทร์')",43.5 km
5804,"('ศิลาลาด', 'ศรีสะเกษ')","('ราษีไศล', 'ศรีสะเกษ')",22.8 km
5805,"('ศิลาลาด', 'ศรีสะเกษ')","('มหาชนะชัย', 'ยโสธร')",24.3 km
5806,"('ศิลาลาด', 'ศรีสะเกษ')","('โพนทราย', 'ร้อยเอ็ด')",12.4 km
5807,"('ศิลาลาด', 'ศรีสะเกษ')","('หนองฮี', 'ร้อยเอ็ด')",23.6 km
5808,"('ยางชุมน้อย', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",23.0 km
5809,"('ยางชุมน้อย', 'ศรีสะเกษ')","('เขื่องใน', 'อุบลราชธานี')",24.5 km
5810,"('ยางชุมน้อย', 'ศรีสะเกษ')","('กันทรารมย์', 'ศรีสะเกษ')",33.6 km
5811,"('ยางชุมน้อย', 'ศรีสะเกษ')","('ราษีไศล', 'ศรีสะเกษ')",31.3 km
5812,"('ยางชุมน้อย', 'ศรีสะเกษ')","('ค้อวัง', 'ยโสธร')",17.1 km
5813,"('กันทรารมย์', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",28.6 km
5814,"('กันทรารมย์', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",27.0 km
5815,"('กันทรารมย์', 'ศรีสะเกษ')","('พยุห์', 'ศรีสะเกษ')",33.9 km
5816,"('กันทรารมย์', 'ศรีสะเกษ')","('เมืองอุบลราชธานี', 'อุบลราชธานี')",37.4 km
5817,"('กันทรารมย์', 'ศรีสะเกษ')","('เขื่องใน', 'อุบลราชธานี')",36.6 km
5818,"('กันทรารมย์', 'ศรีสะเกษ')","('วารินชำราบ', 'อุบลราชธานี')",36.5 km
5819,"('กันทรารมย์', 'ศรีสะเกษ')","('สำโรง', 'อุบลราชธานี')",33.9 km
5820,"('กันทรารมย์', 'ศรีสะเกษ')","('ยางชุมน้อย', 'ศรีสะเกษ')",32.8 km
5821,"('กันทรารมย์', 'ศรีสะเกษ')","('โนนคูณ', 'ศรีสะเกษ')",28.4 km
5822,"('กันทรลักษ์', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",50.0 km
5823,"('กันทรลักษ์', 'ศรีสะเกษ')","('เบญจลักษ์', 'ศรีสะเกษ')",27.5 km
5824,"('กันทรลักษ์', 'ศรีสะเกษ')","('เดชอุดม', 'อุบลราชธานี')",70.6 km
5825,"('กันทรลักษ์', 'ศรีสะเกษ')","('น้ำยืน', 'อุบลราชธานี')",57.7 km
5826,"('กันทรลักษ์', 'ศรีสะเกษ')","('ทุ่งศรีอุดม', 'อุบลราชธานี')",38.3 km
5827,"('กันทรลักษ์', 'ศรีสะเกษ')","('น้ำขุ่น', 'อุบลราชธานี')",38.4 km
5828,"('กันทรลักษ์', 'ศรีสะเกษ')","('ขุนหาญ', 'ศรีสะเกษ')",27.6 km
5829,"('กันทรลักษ์', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",27.2 km
5830,"('ขุขันธ์', 'ศรีสะเกษ')","('บัวเชด', 'สุรินทร์')",40.7 km
5831,"('ขุขันธ์', 'ศรีสะเกษ')","('ศรีณรงค์', 'สุรินทร์')",40.6 km
5832,"('ขุขันธ์', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",29.4 km
5833,"('ขุขันธ์', 'ศรีสะเกษ')","('ภูสิงห์', 'ศรีสะเกษ')",28.5 km
5834,"('ขุขันธ์', 'ศรีสะเกษ')","('พยุห์', 'ศรีสะเกษ')",39.3 km
5835,"('ขุขันธ์', 'ศรีสะเกษ')","('สังขะ', 'สุรินทร์')",44.3 km
5836,"('ขุขันธ์', 'ศรีสะเกษ')","('ไพรบึง', 'ศรีสะเกษ')",22.0 km
5837,"('ขุขันธ์', 'ศรีสะเกษ')","('ปรางค์กู่', 'ศรีสะเกษ')",25.5 km
5838,"('ขุขันธ์', 'ศรีสะเกษ')","('ขุนหาญ', 'ศรีสะเกษ')",33.8 km
5839,"('ไพรบึง', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",36.1 km
5840,"('ไพรบึง', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",37.1 km
5841,"('ไพรบึง', 'ศรีสะเกษ')","('พยุห์', 'ศรีสะเกษ')",18.9 km
5842,"('ไพรบึง', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",20.8 km
5843,"('ไพรบึง', 'ศรีสะเกษ')","('ขุนหาญ', 'ศรีสะเกษ')",18.6 km
5844,"('ไพรบึง', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",18.6 km
5845,"('ปรางค์กู่', 'ศรีสะเกษ')","('สำโรงทาบ', 'สุรินทร์')",27.7 km
5846,"('ปรางค์กู่', 'ศรีสะเกษ')","('ศรีณรงค์', 'สุรินทร์')",27.4 km
5847,"('ปรางค์กู่', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",29.9 km
5848,"('ปรางค์กู่', 'ศรีสะเกษ')","('ศีขรภูมิ', 'สุรินทร์')",33.1 km
5849,"('ปรางค์กู่', 'ศรีสะเกษ')","('สังขะ', 'สุรินทร์')",39.4 km
5850,"('ปรางค์กู่', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",25.5 km
5851,"('ปรางค์กู่', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",37.0 km
5852,"('ปรางค์กู่', 'ศรีสะเกษ')","('ห้วยทับทัน', 'ศรีสะเกษ')",26.5 km
5853,"('ขุนหาญ', 'ศรีสะเกษ')","('ภูสิงห์', 'ศรีสะเกษ')",47.4 km
5854,"('ขุนหาญ', 'ศรีสะเกษ')","('กันทรลักษ์', 'ศรีสะเกษ')",27.8 km
5855,"('ขุนหาญ', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",33.8 km
5856,"('ขุนหาญ', 'ศรีสะเกษ')","('ไพรบึง', 'ศรีสะเกษ')",19.9 km
5857,"('ขุนหาญ', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",29.5 km
5858,"('ราษีไศล', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",39.4 km
5859,"('ราษีไศล', 'ศรีสะเกษ')","('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')",24.5 km
5860,"('ราษีไศล', 'ศรีสะเกษ')","('ศิลาลาด', 'ศรีสะเกษ')",22.8 km
5861,"('ราษีไศล', 'ศรีสะเกษ')","('รัตนบุรี', 'สุรินทร์')",43.0 km
5862,"('ราษีไศล', 'ศรีสะเกษ')","('ยางชุมน้อย', 'ศรีสะเกษ')",31.7 km
5863,"('ราษีไศล', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",27.2 km
5864,"('ราษีไศล', 'ศรีสะเกษ')","('บึงบูรพ์', 'ศรีสะเกษ')",18.6 km
5865,"('ราษีไศล', 'ศรีสะเกษ')","('มหาชนะชัย', 'ยโสธร')",25.1 km
5866,"('ราษีไศล', 'ศรีสะเกษ')","('ค้อวัง', 'ยโสธร')",33.6 km
5867,"('ราษีไศล', 'ศรีสะเกษ')","('โพนทราย', 'ร้อยเอ็ด')",26.5 km
5868,"('อุทุมพรพิสัย', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",26.0 km
5869,"('อุทุมพรพิสัย', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",32.6 km
5870,"('อุทุมพรพิสัย', 'ศรีสะเกษ')","('เมืองจันทร์', 'ศรีสะเกษ')",14.0 km
5871,"('อุทุมพรพิสัย', 'ศรีสะเกษ')","('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')",19.3 km
5872,"('อุทุมพรพิสัย', 'ศรีสะเกษ')","('ปรางค์กู่', 'ศรีสะเกษ')",36.9 km
5873,"('อุทุมพรพิสัย', 'ศรีสะเกษ')","('ราษีไศล', 'ศรีสะเกษ')",27.2 km
5874,"('อุทุมพรพิสัย', 'ศรีสะเกษ')","('บึงบูรพ์', 'ศรีสะเกษ')",30.8 km
5875,"('อุทุมพรพิสัย', 'ศรีสะเกษ')","('ห้วยทับทัน', 'ศรีสะเกษ')",15.4 km
5876,"('บึงบูรพ์', 'ศรีสะเกษ')","('เมืองจันทร์', 'ศรีสะเกษ')",22.1 km
5877,"('บึงบูรพ์', 'ศรีสะเกษ')","('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')",14.5 km
5878,"('บึงบูรพ์', 'ศรีสะเกษ')","('รัตนบุรี', 'สุรินทร์')",25.1 km
5879,"('บึงบูรพ์', 'ศรีสะเกษ')","('ราษีไศล', 'ศรีสะเกษ')",18.6 km
5880,"('บึงบูรพ์', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",30.8 km
5881,"('ห้วยทับทัน', 'ศรีสะเกษ')","('สำโรงทาบ', 'สุรินทร์')",12.7 km
5882,"('ห้วยทับทัน', 'ศรีสะเกษ')","('โนนนารายณ์', 'สุรินทร์')",33.1 km
5883,"('ห้วยทับทัน', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",30.7 km
5884,"('ห้วยทับทัน', 'ศรีสะเกษ')","('เมืองจันทร์', 'ศรีสะเกษ')",18.9 km
5885,"('ห้วยทับทัน', 'ศรีสะเกษ')","('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')",23.4 km
5886,"('ห้วยทับทัน', 'ศรีสะเกษ')","('ปรางค์กู่', 'ศรีสะเกษ')",26.8 km
5887,"('ห้วยทับทัน', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",16.3 km
5888,"('โนนคูณ', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",28.9 km
5889,"('โนนคูณ', 'ศรีสะเกษ')","('เบญจลักษ์', 'ศรีสะเกษ')",21.9 km
5890,"('โนนคูณ', 'ศรีสะเกษ')","('เดชอุดม', 'อุบลราชธานี')",78.2 km
5891,"('โนนคูณ', 'ศรีสะเกษ')","('สำโรง', 'อุบลราชธานี')",18.5 km
5892,"('โนนคูณ', 'ศรีสะเกษ')","('ทุ่งศรีอุดม', 'อุบลราชธานี')",70.9 km
5893,"('โนนคูณ', 'ศรีสะเกษ')","('กันทรารมย์', 'ศรีสะเกษ')",28.4 km
5894,"('โนนคูณ', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",40.0 km
5895,"('ศรีรัตนะ', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",23.7 km
5896,"('ศรีรัตนะ', 'ศรีสะเกษ')","('เบญจลักษ์', 'ศรีสะเกษ')",34.4 km
5897,"('ศรีรัตนะ', 'ศรีสะเกษ')","('พยุห์', 'ศรีสะเกษ')",19.6 km
5898,"('ศรีรัตนะ', 'ศรีสะเกษ')","('กันทรลักษ์', 'ศรีสะเกษ')",27.4 km
5899,"('ศรีรัตนะ', 'ศรีสะเกษ')","('ไพรบึง', 'ศรีสะเกษ')",19.1 km
5900,"('ศรีรัตนะ', 'ศรีสะเกษ')","('ขุนหาญ', 'ศรีสะเกษ')",30.5 km
5901,"('ศรีรัตนะ', 'ศรีสะเกษ')","('โนนคูณ', 'ศรีสะเกษ')",53.6 km
5902,"('เมืองตราด', 'ตราด')","('คลองใหญ่', 'ตราด')",77.5 km
5903,"('เมืองตราด', 'ตราด')","('เขาสมิง', 'ตราด')",18.1 km
5904,"('เมืองตราด', 'ตราด')","('บ่อไร่', 'ตราด')",48.2 km
5905,"('เมืองตราด', 'ตราด')","('แหลมงอบ', 'ตราด')",16.5 km
5906,"('คลองใหญ่', 'ตราด')","('เมืองตราด', 'ตราด')",77.8 km
5907,"('เขาสมิง', 'ตราด')","('เมืองตราด', 'ตราด')",17.4 km
5908,"('เขาสมิง', 'ตราด')","('บ่อไร่', 'ตราด')",30.6 km
5909,"('เขาสมิง', 'ตราด')","('แหลมงอบ', 'ตราด')",32.2 km
5910,"('เขาสมิง', 'ตราด')","('ขลุง', 'จันทบุรี')",28.9 km
5911,"('บ่อไร่', 'ตราด')","('เมืองตราด', 'ตราด')",48.3 km
5912,"('บ่อไร่', 'ตราด')","('เขาสมิง', 'ตราด')",30.6 km
5913,"('บ่อไร่', 'ตราด')","('ขลุง', 'จันทบุรี')",57.4 km
5914,"('บ่อไร่', 'ตราด')","('โป่งน้ำร้อน', 'จันทบุรี')",68.7 km
5915,"('แหลมงอบ', 'ตราด')","('เมืองตราด', 'ตราด')",16.5 km
5916,"('แหลมงอบ', 'ตราด')","('เขาสมิง', 'ตราด')",33.1 km
5917,"('แหลมงอบ', 'ตราด')","('เกาะช้าง', 'ตราด')",29.8 km
5918,"('แหลมงอบ', 'ตราด')","('ขลุง', 'จันทบุรี')",51.8 km
5919,"('เกาะช้าง', 'ตราด')","('แหลมงอบ', 'ตราด')",30.1 km
5920,"('ควนขนุน', 'พัทลุง')","('ชะอวด', 'นครศรีธรรมราช')",37.6 km
5921,"('ควนขนุน', 'พัทลุง')","('หัวไทร', 'นครศรีธรรมราช')",65.3 km
5922,"('ควนขนุน', 'พัทลุง')","('กระแสสินธุ์', 'สงขลา')",63.6 km
5923,"('ควนขนุน', 'พัทลุง')","('ระโนด', 'สงขลา')",46.4 km
5924,"('ควนขนุน', 'พัทลุง')","('เมืองพัทลุง', 'พัทลุง')",17.4 km
5925,"('ควนขนุน', 'พัทลุง')","('ศรีบรรพต', 'พัทลุง')",14.7 km
5926,"('ควนขนุน', 'พัทลุง')","('ป่าพยอม', 'พัทลุง')",18.2 km
5927,"('ควนขนุน', 'พัทลุง')","('ศรีนครินทร์', 'พัทลุง')",30.0 km
5928,"('ตะโหมด', 'พัทลุง')","('ทุ่งหว้า', 'สตูล')",140 km
5929,"('ตะโหมด', 'พัทลุง')","('ปะเหลียน', 'ตรัง')",119 km
5930,"('ตะโหมด', 'พัทลุง')","('กงหรา', 'พัทลุง')",26.1 km
5931,"('ตะโหมด', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",18.3 km
5932,"('ตะโหมด', 'พัทลุง')","('ป่าบอน', 'พัทลุง')",15.8 km
5933,"('ตะโหมด', 'พัทลุง')","('บางแก้ว', 'พัทลุง')",15.3 km
5934,"('เมืองพัทลุง', 'พัทลุง')","('ควนขนุน', 'พัทลุง')",20.5 km
5935,"('เมืองพัทลุง', 'พัทลุง')","('กระแสสินธุ์', 'สงขลา')",68.9 km
5936,"('เมืองพัทลุง', 'พัทลุง')","('ระโนด', 'สงขลา')",51.8 km
5937,"('เมืองพัทลุง', 'พัทลุง')","('กงหรา', 'พัทลุง')",38.9 km
5938,"('เมืองพัทลุง', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",28.0 km
5939,"('เมืองพัทลุง', 'พัทลุง')","('ศรีบรรพต', 'พัทลุง')",30.8 km
5940,"('เมืองพัทลุง', 'พัทลุง')","('ศรีนครินทร์', 'พัทลุง')",16.7 km
5941,"('กงหรา', 'พัทลุง')","('ย่านตาขาว', 'ตรัง')",71.7 km
5942,"('กงหรา', 'พัทลุง')","('ปะเหลียน', 'ตรัง')",93.5 km
5943,"('กงหรา', 'พัทลุง')","('ตะโหมด', 'พัทลุง')",25.2 km
5944,"('กงหรา', 'พัทลุง')","('เมืองพัทลุง', 'พัทลุง')",39.3 km
5945,"('กงหรา', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",27.8 km
5946,"('กงหรา', 'พัทลุง')","('ศรีนครินทร์', 'พัทลุง')",23.8 km
5947,"('เขาชัยสน', 'พัทลุง')","('กระแสสินธุ์', 'สงขลา')",85.4 km
5948,"('เขาชัยสน', 'พัทลุง')","('ตะโหมด', 'พัทลุง')",17.2 km
5949,"('เขาชัยสน', 'พัทลุง')","('เมืองพัทลุง', 'พัทลุง')",28.2 km
5950,"('เขาชัยสน', 'พัทลุง')","('กงหรา', 'พัทลุง')",31.7 km
5951,"('เขาชัยสน', 'พัทลุง')","('ปากพะยูน', 'พัทลุง')",31.8 km
5952,"('เขาชัยสน', 'พัทลุง')","('ป่าบอน', 'พัทลุง')",27.4 km
5953,"('เขาชัยสน', 'พัทลุง')","('บางแก้ว', 'พัทลุง')",11.9 km
5954,"('ปากพะยูน', 'พัทลุง')","('สทิงพระ', 'สงขลา')",54.0 km
5955,"('ปากพะยูน', 'พัทลุง')","('กระแสสินธุ์', 'สงขลา')",79.9 km
5956,"('ปากพะยูน', 'พัทลุง')","('รัตภูมิ', 'สงขลา')",33.5 km
5957,"('ปากพะยูน', 'พัทลุง')","('สิงหนคร', 'สงขลา')",40.8 km
5958,"('ปากพะยูน', 'พัทลุง')","('ควนเนียง', 'สงขลา')",21.9 km
5959,"('ปากพะยูน', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",31.8 km
5960,"('ปากพะยูน', 'พัทลุง')","('ป่าบอน', 'พัทลุง')",28.2 km
5961,"('ปากพะยูน', 'พัทลุง')","('บางแก้ว', 'พัทลุง')",24.5 km
5962,"('ศรีบรรพต', 'พัทลุง')","('เมืองตรัง', 'ตรัง')",56.6 km
5963,"('ศรีบรรพต', 'พัทลุง')","('ห้วยยอด', 'ตรัง')",62.3 km
5964,"('ศรีบรรพต', 'พัทลุง')","('ควนขนุน', 'พัทลุง')",14.7 km
5965,"('ศรีบรรพต', 'พัทลุง')","('นาโยง', 'ตรัง')",46.9 km
5966,"('ศรีบรรพต', 'พัทลุง')","('เมืองพัทลุง', 'พัทลุง')",29.2 km
5967,"('ศรีบรรพต', 'พัทลุง')","('ป่าพยอม', 'พัทลุง')",21.9 km
5968,"('ศรีบรรพต', 'พัทลุง')","('ศรีนครินทร์', 'พัทลุง')",24.3 km
5969,"('ป่าบอน', 'พัทลุง')","('ทุ่งหว้า', 'สตูล')",138 km
5970,"('ป่าบอน', 'พัทลุง')","('มะนัง', 'สตูล')",110 km
5971,"('ป่าบอน', 'พัทลุง')","('ปะเหลียน', 'ตรัง')",128 km
5972,"('ป่าบอน', 'พัทลุง')","('รัตภูมิ', 'สงขลา')",39.8 km
5973,"('ป่าบอน', 'พัทลุง')","('ตะโหมด', 'พัทลุง')",14.0 km
5974,"('ป่าบอน', 'พัทลุง')","('ควนเนียง', 'สงขลา')",39.6 km
5975,"('ป่าบอน', 'พัทลุง')","('ควนกาหลง', 'สตูล')",78.9 km
5976,"('ป่าบอน', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",26.8 km
5977,"('ป่าบอน', 'พัทลุง')","('ปากพะยูน', 'พัทลุง')",26.5 km
5978,"('ป่าบอน', 'พัทลุง')","('บางแก้ว', 'พัทลุง')",23.8 km
5979,"('บางแก้ว', 'พัทลุง')","('กระแสสินธุ์', 'สงขลา')",104 km
5980,"('บางแก้ว', 'พัทลุง')","('ตะโหมด', 'พัทลุง')",15.3 km
5981,"('บางแก้ว', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",11.9 km
5982,"('บางแก้ว', 'พัทลุง')","('ปากพะยูน', 'พัทลุง')",24.6 km
5983,"('บางแก้ว', 'พัทลุง')","('ป่าบอน', 'พัทลุง')",25.5 km
5984,"('ป่าพยอม', 'พัทลุง')","('ชะอวด', 'นครศรีธรรมราช')",24.5 km
5985,"('ป่าพยอม', 'พัทลุง')","('ทุ่งสง', 'นครศรีธรรมราช')",60.9 km
5986,"('ป่าพยอม', 'พัทลุง')","('ห้วยยอด', 'ตรัง')",53.6 km
5987,"('ป่าพยอม', 'พัทลุง')","('ควนขนุน', 'พัทลุง')",18.8 km
5988,"('ป่าพยอม', 'พัทลุง')","('รัษฎา', 'ตรัง')",59.7 km
5989,"('ป่าพยอม', 'พัทลุง')","('ศรีบรรพต', 'พัทลุง')",20.5 km
5990,"('ศรีนครินทร์', 'พัทลุง')","('เมืองตรัง', 'ตรัง')",43.4 km
5991,"('ศรีนครินทร์', 'พัทลุง')","('ย่านตาขาว', 'ตรัง')",52.6 km
5992,"('ศรีนครินทร์', 'พัทลุง')","('ห้วยยอด', 'ตรัง')",71.3 km
5993,"('ศรีนครินทร์', 'พัทลุง')","('ควนขนุน', 'พัทลุง')",28.2 km
5994,"('ศรีนครินทร์', 'พัทลุง')","('นาโยง', 'ตรัง')",33.7 km
5995,"('ศรีนครินทร์', 'พัทลุง')","('เมืองพัทลุง', 'พัทลุง')",16.6 km
5996,"('ศรีนครินทร์', 'พัทลุง')","('กงหรา', 'พัทลุง')",23.4 km
5997,"('ศรีนครินทร์', 'พัทลุง')","('ศรีบรรพต', 'พัทลุง')",24.3 km
5998,"('เมืองยะลา', 'ยะลา')","('สะบ้าย้อย', 'สงขลา')",55.4 km
5999,"('เมืองยะลา', 'ยะลา')","('โคกโพธิ์', 'ปัตตานี')",40.7 km
6000,"('เมืองยะลา', 'ยะลา')","('หนองจิก', 'ปัตตานี')",46.1 km
6001,"('เมืองยะลา', 'ยะลา')","('มายอ', 'ปัตตานี')",33.6 km
6002,"('เมืองยะลา', 'ยะลา')","('ทุ่งยางแดง', 'ปัตตานี')",23.0 km
6003,"('เมืองยะลา', 'ยะลา')","('ยะรัง', 'ปัตตานี')",26.8 km
6004,"('เมืองยะลา', 'ยะลา')","('แม่ลาน', 'ปัตตานี')",17.1 km
6005,"('เมืองยะลา', 'ยะลา')","('ยะหา', 'ยะลา')",21.9 km
6006,"('เมืองยะลา', 'ยะลา')","('รามัน', 'ยะลา')",24.1 km
6007,"('เมืองยะลา', 'ยะลา')","('กรงปีนัง', 'ยะลา')",20.8 km
6008,"('เบตง', 'ยะลา')","('ศรีสาคร', 'นราธิวาส')",129 km
6009,"('เบตง', 'ยะลา')","('จะแนะ', 'นราธิวาส')",176 km
6010,"('เบตง', 'ยะลา')","('ธารโต', 'ยะลา')",68.9 km
6011,"('บันนังสตา', 'ยะลา')","('รือเสาะ', 'นราธิวาส')",69.4 km
6012,"('บันนังสตา', 'ยะลา')","('ศรีสาคร', 'นราธิวาส')",39.8 km
6013,"('บันนังสตา', 'ยะลา')","('ธารโต', 'ยะลา')",23.9 km
6014,"('บันนังสตา', 'ยะลา')","('ยะหา', 'ยะลา')",32.5 km
6015,"('บันนังสตา', 'ยะลา')","('รามัน', 'ยะลา')",51.2 km
6016,"('บันนังสตา', 'ยะลา')","('กาบัง', 'ยะลา')",51.2 km
6017,"('บันนังสตา', 'ยะลา')","('กรงปีนัง', 'ยะลา')",21.1 km
6018,"('ธารโต', 'ยะลา')","('ศรีสาคร', 'นราธิวาส')",60.7 km
