,original,destination,distance
436,ชลบุรี,จันทบุรี,165 km
437,ชลบุรี,ฉะเชิงเทรา,45.2 km
438,ระยอง,ชลบุรี,96.6 km
439,ระยอง,จันทบุรี,111 km
440,ระยอง,ฉะเชิงเทรา,141 km
441,จันทบุรี,ชลบุรี,165 km
442,จันทบุรี,ระยอง,111 km
443,จันทบุรี,ตราด,70.1 km
444,จันทบุรี,ฉะเชิงเทรา,190 km
445,จันทบุรี,สระแก้ว,157 km
446,ตราด,จันทบุรี,69.9 km
447,ฉะเชิงเทรา,กรุงเทพมหานคร,68.8 km
448,ฉะเชิงเทรา,สมุทรปราการ,74.1 km
449,ฉะเชิงเทรา,ปทุมธานี,88.0 km
450,ฉะเชิงเทรา,ชลบุรี,43.1 km
451,ฉะเชิงเทรา,ระยอง,137 km
452,ฉะเชิงเทรา,จันทบุรี,190 km
453,ฉะเชิงเทรา,ปราจีนบุรี,76.3 km
454,ฉะเชิงเทรา,นครนายก,74.1 km
455,ฉะเชิงเทรา,สระแก้ว,124 km
456,ปราจีนบุรี,ฉะเชิงเทรา,76.3 km
457,ปราจีนบุรี,นครนายก,25.4 km
458,ปราจีนบุรี,สระแก้ว,89.6 km
459,ปราจีนบุรี,นครราชสีมา,189 km
460,นครนายก,กรุงเทพมหานคร,107 km
461,นครนายก,ปทุมธานี,90.3 km
462,นครนายก,สระบุรี,59.3 km
463,นครนายก,ฉะเชิงเทรา,74.2 km
464,นครนายก,ปราจีนบุรี,26.1 km
465,นครนายก,นครราชสีมา,198 km
466,สระแก้ว,จันทบุรี,157 km
467,สระแก้ว,ฉะเชิงเทรา,121 km
468,สระแก้ว,ปราจีนบุรี,88.6 km
469,สระแก้ว,นครราชสีมา,174 km
470,สระแก้ว,บุรีรัมย์,222 km
471,นครราชสีมา,ลพบุรี,198 km
472,นครราชสีมา,สระบุรี,155 km
473,นครราชสีมา,ปราจีนบุรี,187 km
474,นครราชสีมา,นครนายก,200 km
475,นครราชสีมา,สระแก้ว,169 km
476,นครราชสีมา,บุรีรัมย์,125 km
477,นครราชสีมา,ชัยภูมิ,124 km
478,นครราชสีมา,ขอนแก่น,193 km
479,บุรีรัมย์,สระแก้ว,222 km
480,บุรีรัมย์,นครราชสีมา,127 km
481,บุรีรัมย์,สุรินทร์,52.4 km
482,บุรีรัมย์,ขอนแก่น,195 km
483,บุรีรัมย์,มหาสารคาม,153 km
484,สุรินทร์,บุรีรัมย์,53.2 km
485,สุรินทร์,ศรีสะเกษ,106 km
486,สุรินทร์,มหาสารคาม,176 km
487,สุรินทร์,ร้อยเอ็ด,146 km
488,ศรีสะเกษ,สุรินทร์,105 km
489,ศรีสะเกษ,อุบลราชธานี,64.1 km
490,ศรีสะเกษ,ยโสธร,104 km
491,ศรีสะเกษ,ร้อยเอ็ด,147 km
492,อุบลราชธานี,ศรีสะเกษ,65.8 km
493,อุบลราชธานี,ยโสธร,104 km
494,อุบลราชธานี,อำนาจเจริญ,77.9 km
495,ยโสธร,ศรีสะเกษ,99.3 km
496,ยโสธร,อุบลราชธานี,104 km
497,ยโสธร,อำนาจเจริญ,57.5 km
498,ยโสธร,ร้อยเอ็ด,67.3 km
499,ยโสธร,มุกดาหาร,114 km
500,ชัยภูมิ,ลพบุรี,229 km
501,ชัยภูมิ,นครราชสีมา,110 km
502,ชัยภูมิ,ขอนแก่น,126 km
503,ชัยภูมิ,เพชรบูรณ์,202 km
504,อำนาจเจริญ,อุบลราชธานี,76.4 km
505,อำนาจเจริญ,ยโสธร,62.0 km
506,อำนาจเจริญ,มุกดาหาร,89.7 km
507,บึงกาฬ,หนองคาย,138 km
508,บึงกาฬ,สกลนคร,179 km
509,บึงกาฬ,นครพนม,184 km
510,หนองบัวลำภู,ขอนแก่น,113 km
511,หนองบัวลำภู,อุดรธานี,47.6 km
