amphoe_id,romanized_amphoe,thai_amphoe,province_id
302,Amphoe Dan Sai,อำเภอด่านซ้าย,55
303,Amphoe Erawan,อำเภอเอราวัณ,55
304,Amphoe Na Duang,อำเภอนาด้วง,55
305,Amphoe Na Haeo,อำเภอนาแห้ว,55
306,Amphoe Nong Hin,อำเภอหนองหิน,55
307,Amphoe Pak Chom,อำเภอปากชม,55
308,Amphoe Pha Khao,อำเภอผาขาว,55
309,Amphoe Phu Kradueng,อำเภอภูกระดึง,55
310,Amphoe Phu Luang,อำเภอภูหลวง,55
311,Amphoe Phu Ruea,อำเภอภูเรือ,55
312,Amphoe Tha Li,อำเภอท่าลี่,55
313,Amphoe Wang Saphung,อำเภอวังสะพุง,55
314,Amphoe Mueang Lop Buri,อำเภอเมืองลพบุรี,52
315,Amphoe Ban Mi,อำเภอบ้านหมี่,52
316,Amphoe Chai Badan,อำเภอชัยบาดาล,52
317,Amphoe Khok Charoen,อำเภอโคกเจริญ,52
318,Amphoe Khok Samrong,อำเภอโคกสำโรง,52
319,Amphoe Lam Sonthi,อำเภอลำสนธิ,52
320,Amphoe Nong Muang,อำเภอหนองม่วง,52
321,Amphoe Phatthana Nikhom,อำเภอพัฒนานิคม,52
322,Amphoe Sa Bot,อำเภอสระโบสถ์,52
323,Amphoe Tha Luang,อำเภอท่าหลวง,52
324,Amphoe Tha Wung,อำเภอท่าวุ้ง,52
325,Amphoe Mueang Mae Hong Son,อำเภอเมืองแม่ฮ่องสอน,45
326,Amphoe Khun Yuam,อำเภอขุนยวม,45
327,Amphoe Mae La Noi,อำเภอแม่ลาน้อย,45
328,Amphoe Mae Sariang,อำเภอแม่สะเรียง,45
329,Amphoe Pai,อำเภอปาย,45
330,Amphoe Pang Mapha,อำเภอปางมะผ้า,45
331,Amphoe Sop Moei,อำเภอสบเมย,45
332,Amphoe Mueang Maha Sarakham,อำเภอเมืองมหาสารคาม,43
333,Amphoe Borabue,อำเภอบรบือ,43
334,Amphoe Chiang Yuen,อำเภอเชียงยืน,43
335,Amphoe Chuen Chom,อำเภอชื่นชม,43
336,Amphoe Kae Dam,อำเภอแกดำ,43
337,Amphoe Kantharawichai,อำเภอกันทรวิชัย,43
338,Amphoe Kosum Phisai,อำเภอโกสุมพิสัย,43
339,Amphoe Kut Rang,อำเภอกุดรัง,43
340,Amphoe Na Chueak,อำเภอนาเชือก,43
341,Amphoe Na Dun,อำเภอนาดูน,43
342,Amphoe Phayakkhaphum Phisai,อำเภอพยัคฆภูมิพิสัย,43
343,Amphoe Wapi Pathum,อำเภอวาปีปทุม,43
344,Amphoe Yang Sisurat,อำเภอยางสีสุราช,43
345,Amphoe Mueang Mukdahan,อำเภอเมืองมุกดาหาร,44
346,Amphoe Don Tan,อำเภอดอนตาล,44
347,Amphoe Dong Luang,อำเภอดงหลวง,44
348,Amphoe Khamcha-i,อำเภอคำชะอี,44
349,Amphoe Nikhom Kham Soi,อำเภอนิคมคำสร้อย,44
350,Amphoe Nong Sung,อำเภอหนองสูง,44
351,Amphoe Wan Yai,อำเภอหว้านใหญ่,44
352,Amphoe Mueang Nakhon Nayok,อำเภอเมืองนครนายก,18
353,Amphoe Ban Na,อำเภอบ้านนา,18
354,Amphoe Ongkharak,อำเภอองครักษ์,18
355,Amphoe Pak Phli,อำเภอปากพลี,18
356,Amphoe Mueang Nakhon Pathom,อำเภอเมืองนครปฐม,19
357,Amphoe Bang Len,อำเภอบางเลน,19
358,Amphoe Don Tum,อำเภอดอนตูม,19
359,Amphoe Kamphaeng Saen,อำเภอกำแพงแสน,19
360,Amphoe Nakhon Chai Si,อำเภอนครชัยศรี,19
361,Amphoe Phutthamonthon,อำเภอพุทธมณฑล,19
362,Amphoe Sam Phran,อำเภอสามพราน,19
363,Amphoe Mueang Nakhon Phanom,อำเภอเมืองนครพนม,20
